neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Aleppo,1564,37,16,19,2326,230,2022-04-11
Allegheny Center (Pittsburgh),1189,80,5,14,2534,328,2022-04-11
Allegheny West (Pittsburgh),392,61,0,5,981,92,2022-04-11
Allentown (Pittsburgh),2299,176,2,33,3952,534,2022-04-11
Arlington (Pittsburgh),1749,218,9,29,3345,413,2022-04-11
Arlington Heights (Pittsburgh),149,11,3,3,461,32,2022-04-11
Aspinwall,1974,66,1,11,5327,449,2022-04-11
Avalon,4551,315,12,57,8728,900,2022-04-11
Baldwin Borough,23875,1491,72,294,37567,4818,2022-04-11
Baldwin Township,1897,98,1,13,3104,418,2022-04-11
Banksville (Pittsburgh),3842,267,17,32,6978,840,2022-04-11
Bedford Dwellings (Pittsburgh),1075,123,6,37,2017,304,2022-04-11
Beechview (Pittsburgh),6828,424,16,81,12912,1600,2022-04-11
Bell Acres,804,16,5,9,1903,241,2022-04-11
Bellevue,6995,585,10,62,12779,1518,2022-04-11
Beltzhoover (Pittsburgh),1347,175,5,43,2632,385,2022-04-11
Ben Avon,1212,52,4,9,2881,323,2022-04-11
Ben Avon Heights,218,12,0,0,701,73,2022-04-11
Bethel Park,32214,2049,95,270,56943,6336,2022-04-11
Blawnox,964,52,4,14,2239,205,2022-04-11
Bloomfield (Pittsburgh),7269,475,10,59,21599,1605,2022-04-11
Bluff (Pittsburgh),16211,986,4,48,16248,1639,2022-04-11
Bon Air (Pittsburgh),548,27,2,12,1239,170,2022-04-11
Brackenridge,4522,262,25,67,7900,775,2022-04-11
Braddock,1905,116,1,41,3911,508,2022-04-11
Braddock Hills,1382,131,3,21,3013,347,2022-04-11
Bradford Woods,718,34,1,4,1685,219,2022-04-11
Brentwood,9694,620,19,78,16470,2114,2022-04-11
Bridgeville,5325,276,16,52,8043,1118,2022-04-11
Brighton Heights (Pittsburgh),6921,577,12,91,13830,1633,2022-04-11
Brookline (Pittsburgh),11642,787,21,122,21484,2571,2022-04-11
California-Kirkbride (Pittsburgh),760,23,3,4,1412,163,2022-04-11
Carnegie,7024,544,11,62,12645,1602,2022-04-11
Carrick (Pittsburgh),8122,599,28,132,15708,2010,2022-04-11
Castle Shannon,7446,435,11,50,13353,1564,2022-04-11
Central Business District (Pittsburgh),5021,191,0,23,14590,1008,2022-04-11
Central Lawrenceville (Pittsburgh),4682,295,20,40,12284,827,2022-04-11
Central Northside (Pittsburgh),2815,200,4,35,6912,663,2022-04-11
Central Oakland (Pittsburgh),4847,140,1,6,13435,894,2022-04-11
Chalfant,569,13,1,7,1311,133,2022-04-11
Chartiers City (Pittsburgh),388,36,1,8,826,125,2022-04-11
Chateau (Pittsburgh),85,0,0,0,331,34,2022-04-11
Cheswick,1373,91,2,26,2288,314,2022-04-11
Churchill,2036,82,5,24,5078,473,2022-04-11
Clairton,6627,590,16,104,11557,1525,2022-04-11
Collier,7792,529,10,46,13611,1697,2022-04-11
Coraopolis,5557,577,12,45,7909,1108,2022-04-11
Crafton,5324,240,15,52,9658,1281,2022-04-11
Crafton Heights (Pittsburgh),3089,167,5,33,5989,817,2022-04-11
Crawford-Roberts (Pittsburgh),2216,257,12,73,4902,584,2022-04-11
Crescent,1869,125,10,21,3061,404,2022-04-11
Dormont,6931,401,5,48,13458,1533,2022-04-11
Dravosburg,1743,63,5,20,2932,325,2022-04-11
Duquesne,5396,425,24,109,9287,1302,2022-04-11
Duquesne Heights (Pittsburgh),2686,151,5,18,4787,550,2022-04-11
East Allegheny (Pittsburgh),1810,148,5,29,3749,431,2022-04-11
East Carnegie (Pittsburgh),613,46,2,12,953,132,2022-04-11
East Deer,1592,99,1,19,2457,279,2022-04-11
East Hills (Pittsburgh),2322,162,7,55,4622,608,2022-04-11
East Liberty (Pittsburgh),6024,522,34,112,14660,1390,2022-04-11
East Mckeesport,1878,102,5,32,3062,455,2022-04-11
East Pittsburgh,1937,289,6,42,3505,426,2022-04-11
